Dataset Name,Begin Datetime,End Datetime,Notes,Attribute Description,Resource ID,Resource URL,Resource Format
vienna-city-marathon-wien,2020-03-30T00:00:00,,"Offizielle und behördlich genehmigte Laufstrecke aller Bewerbe des Vienna City Marathon Stand 2024 (Marathon, Halbmarathon). Die Strecke wurde nach dem Protokoll der AIMS (Association of International Marathons and Distance Races) vermessen. Messungen auf GPS-Basis können eine geringfügige Abweichung von der tatsächlichen Distanz aufweisen. ","Offizielle und behördlich genehmigte Laufstrecke der Bewerbe des Vienna City Marathon Stand 2024 (Marathon, Halbmarathon). Die Strecke wurde nach dem Protokoll der AIMS (Association of International Marathons and Distance Races) vermessen. Messungen auf GPS-Basis können eine geringfügige Abweichung von der tatsächlichen Distanz aufweisen. TYP1: „M“ gibt an, ob Abschnitt Teil der Marathon-Strecke ist; TYP2: „HM“ gibt an, ob Abschnitt Teil der Halb-Marathon-Strecke ist. ",880818fe-b8d7-45d7-bb09-40d952c15134,https://data.wien.gv.at/daten/geo?service=WFS&request=GetFeature&version=1.1.0&typeName=ogdwien:MARATHONOGD&srsName=EPSG:4326&outputFormat=csv,CSV
stadt-wien_zhlbezirksgrenzenwien,2011-01-01T00:00:00,,Zählbezirke sind statistische Definitionen. Die 23 Bezirke werden in 250 Zählbezirke unterteilt.,"BEZNR: Bezirksnummer (1-2-stellig, numerisch)  

ZBEZNR: Zählbezirksnummer (1-2-stellig, numerisch)  

BEZ: Bezirksnummer (2-stellig, Character)  

ZBEZ: Zählbezirksnummer (4-stellig, Character, inkl. Bezirksnummer)  

FLAECHE: Fläche in Quadratmetern  

UMFANG: Umfang in Metern  

AKT_TIMESTAMP: Letzte Aktualisierung (Datum)",c93d37d6-aff5-4fae-a616-0e8254f0e8a5,https://data.wien.gv.at/daten/geo?service=WFS&request=GetFeature&version=1.1.0&typeName=ogdwien:ZAEHLBEZIRKOGD&srsName=EPSG:4326&outputFormat=csv,CSV
stadt-wien_straengraphwien,2012-01-01T00:00:00,,"Der Straßengraph ist ein topologischer Graph des Abschnittsnetzes der Wiener Straßen. Die Netzlinien verlaufen in der Regel in der Straßenachse. Ein Straßenabschnitt ist der Teil einer Straße zwischen zwei Kreuzungen. Die Stationierungsrichtung erfolgt entsprechend der aufsteigenden Orientierungsnummern. Die Straßenabschnitte werden von Netzknoten begrenzt. Diese Netzknoten liegen im Regelfall im Kreuzungsmittelpunkt. Dieser Datensatz beihnaltet die öffentlichen Verkehrsflächen (Gemeindestraßen, Hauptstraßen A und B).","Der Straßengraph besteht aus zwei Datenbeständen (Services): STRASSENGRAPHOGD (Abschnitte) und STRASSENKNOTENOGD (Knoten) mit folgenden Attributen:    
GIP_OBJECTID = eindeutige Identifizierung des Objekts  
MAINNAME_OBJECTID = Verweis auf den Namen in der Namenstabelle  
FEATURENAME = Abschnittsname  
REG_STRNAME = Regional verwendeter Straßenname (bspw. Bundesstraßenbezeichnung)  
EDGECATEGORY = Straßenkategorie des Abschnitts, s. Feld   
EDGECATEGORY_NAME = entschlüsselte Straßenkategorie des Abschnitts  
FRC = Funktionelle Bewertung der Straße, s. Feld FRC_NAME  
FRC_NAME = entschlüsselte Funktionelle Bewertung der Straße  
FOW = Bauliche Form des Abschnitts, s. Feld FOW_NAME  
FOW_NAME  = entschlüsselte bauliche Form des Abschnitts  
DEDICATEDWIDTH = mittlere Breite des Abschnitts  
LEVELINTERMEDIATE = Höhe des Abschnitts über Gelände in logischen Geschoßen  
NODEFROM_OBJECTID = Verweis auf den Beginnknoten in der Knotentabelle  
NODETO_OBJECTID = Verweis auf den Endknoten in der Knotentabelle  
SHAPELENGTH = Länge  
SHAPE = Geometrie  
NEIGHBORNODE_OBJECTID = Verweis auf den Anschlussknoten in einem Nachbarnetz, das in einem anderen System gepflegt wird (z.B. Wien – ASFINAG). Die Verknüpfung verknüpft logisch die Abbildungen des selben Knotens in beiden Netzen, wobei die Geometrie der Abbilder geringfügig abweichen kann.",9aa99305-2d68-474d-905e-a78c6077c082,https://data.wien.gv.at/daten/geo?service=WFS&request=GetFeature&version=1.1.0&typeName=ogdwien:STRASSENGRAPHOGD&srsName=EPSG:4326&outputFormat=csv,CSV
stadt-wien_straengraphwien,2012-01-01T00:00:00,,"Der Straßengraph ist ein topologischer Graph des Abschnittsnetzes der Wiener Straßen. Die Netzlinien verlaufen in der Regel in der Straßenachse. Ein Straßenabschnitt ist der Teil einer Straße zwischen zwei Kreuzungen. Die Stationierungsrichtung erfolgt entsprechend der aufsteigenden Orientierungsnummern. Die Straßenabschnitte werden von Netzknoten begrenzt. Diese Netzknoten liegen im Regelfall im Kreuzungsmittelpunkt. Dieser Datensatz beihnaltet die öffentlichen Verkehrsflächen (Gemeindestraßen, Hauptstraßen A und B).","Der Straßengraph besteht aus zwei Datenbeständen (Services): STRASSENGRAPHOGD (Abschnitte) und STRASSENKNOTENOGD (Knoten) mit folgenden Attributen:    
GIP_OBJECTID = eindeutige Identifizierung des Objekts  
MAINNAME_OBJECTID = Verweis auf den Namen in der Namenstabelle  
FEATURENAME = Abschnittsname  
REG_STRNAME = Regional verwendeter Straßenname (bspw. Bundesstraßenbezeichnung)  
EDGECATEGORY = Straßenkategorie des Abschnitts, s. Feld   
EDGECATEGORY_NAME = entschlüsselte Straßenkategorie des Abschnitts  
FRC = Funktionelle Bewertung der Straße, s. Feld FRC_NAME  
FRC_NAME = entschlüsselte Funktionelle Bewertung der Straße  
FOW = Bauliche Form des Abschnitts, s. Feld FOW_NAME  
FOW_NAME  = entschlüsselte bauliche Form des Abschnitts  
DEDICATEDWIDTH = mittlere Breite des Abschnitts  
LEVELINTERMEDIATE = Höhe des Abschnitts über Gelände in logischen Geschoßen  
NODEFROM_OBJECTID = Verweis auf den Beginnknoten in der Knotentabelle  
NODETO_OBJECTID = Verweis auf den Endknoten in der Knotentabelle  
SHAPELENGTH = Länge  
SHAPE = Geometrie  
NEIGHBORNODE_OBJECTID = Verweis auf den Anschlussknoten in einem Nachbarnetz, das in einem anderen System gepflegt wird (z.B. Wien – ASFINAG). Die Verknüpfung verknüpft logisch die Abbildungen des selben Knotens in beiden Netzen, wobei die Geometrie der Abbilder geringfügig abweichen kann.",71e92f39-9ae0-4b83-bd74-2b2fab6c5b1f,https://data.wien.gv.at/daten/geo?service=WFS&request=GetFeature&version=1.1.0&typeName=ogdwien:STRASSENKNOTENOGD&srsName=EPSG:4326&outputFormat=csv,CSV
stadt-wien_geografischesnamensverzeichnisgeonamenpunktefrwien,2012-03-30T00:00:00,,Geonamen von Wien - Einfügepunkte der Texte,"OBJECTID  
GIP_OBJECTID = eindeutige Identifizierung des Objekts  
FEATURENAME = Geoname  
NAMECAT = Namenskategorie  
NAMECAT_NAME = entschlüsselte Namenskategorie  
SCD = Strassencode  
LOCALITYLIST = Nummern der betroffenen Bezirke  
OFFICIALNAMED = Kennzeichen, ob es sich um einen amtlich benannten Namen handelt  
ALIAS1 = mögliche Aliasbezeichnung  
ALIAS2 ,= mögliche Aliasbezeichnung  
ALIAS3 = mögliche Aliasbezeichnung",97cfe0a6-4e53-4126-b2c0-504b2933371b,https://data.wien.gv.at/daten/geo?service=WFS&request=GetFeature&version=1.1.0&typeName=ogdwien:GEONAMENOGD&srsName=EPSG:4326&outputFormat=csv,CSV
stadt-wien_generalisierteflchenwidmungwien,2012-03-30T00:00:00,,"Die Flächenwidmungs- und Bebauungspläne werden in generalisierter Form dargestellt. Die Widmungskategorien und Bauklassen sind ablesbar. Nicht erkennbar sind die Bauweise, die gärtnerische Ausgestaltung und die (Flucht)linientypen. 
Weiters besteht unter „Daten und Ressourcen“ die Möglichkeit, sich die geoland.at (Geodatenverbund der Länder) Version der Generalisierten Flächenwidmung herunterzuladen.","WIDMUNGSKLASSE

WIDMUNG

EKZ	= Einkaufszentrum

OEZ	= Grundfläche für öffentliche Zwecke

STR	= Struktur

STRE	= Struktureinheit

STRG	= Strukturgebiet

WIDMUNG_DETAIL = Zusammenfassung der Detailangaben	

BEFRISTUNG_PD = ist die Fläche mit einer befristeten Widmung ausgwiesen, Nummer des Plandokumentes

BEFRISTUNG_DATUM = Datum der Befristung	

SO_BAULICH_NUTZ = Sondergebiete, nur jene die lt. Einschätzung (, nicht ausgewiesen) der Stadtplanungsabteilungen überwiegend baulich genutzt sind (geoland.at)

BEZIRK

UMFANG

FLAECHE




**Widmungsklassen geoland.at:**

1= Überwiegende Wohnnutzung      

2 = Überwiegend gemischte Nutzung

3 = Überwiegend betriebliche Nutzung

4 = Sonstige Nutzung",72e4b520-93bc-411e-96c8-a93dd9144323,https://data.wien.gv.at/daten/geo?service=WFS&request=GetFeature&version=1.1.0&typeName=ogdwien:GENFLWIDMUNGOGD&srsName=EPSG:4326&outputFormat=csv,CSV
stadt-wien_baublckewien,2012-03-30T00:00:00,,Baublöcke (Blöcke) sind eine in der Regel von Verkehrsflächen bzw. Straßenabschnitten umschlossene statistische Zähleinheit.,"BEZNR: Bezirksnummer (1-2-stellig, numerisch)  
ZBEZNR: Zählbezirksnummer (1-2-stellig, numerisch)  
ZGEBNR: Zählgebietssnummer (1-stellig, numerisch)  
BLKNR: Baublockssnummer (3-stellig, numerisch)  
BEZ: Bezirksnummer (2-stellig, Character)  
ZBEZ: Zählbezirksnummer (4-stellig, Character, inkl. Bezirksnummer)  
ZGEB: Zählgebietssnummer (5-stellig, Character, inkl. Bezirksnummer und Zählbezirksnummer)  
BLK: Baublockssnummer (8-stellig, Character, inkl. Bezirksnummer, Zählbezirksnummer und Zählgebietsnummer)  
FLAECHE: Fläche in Quadratmetern  
UMFANG: Umfang in Metern  
AKT_TIMESTAMP: Letzte Aktualisierung (Datum, Uhrzeit MESZ)",91c6316f-f17b-470a-b027-aa010dd2150e,https://data.wien.gv.at/daten/geo?service=WFS&request=GetFeature&version=1.1.0&typeName=ogdwien:BAUBLOCKOGD&srsName=EPSG:4326&outputFormat=csv,CSV
stadt-wien_hoehenfestpunkteadriawien,2014-09-26T00:00:00,,"Die MA 41 - Stadtvermessung führt - ausgehend von den amtlichen Höhenfestpunkten des Bundesamts für Eich- und Vermessungswesen - ein eigenes Höhenfestpunktnetz mit rund 6.300 Punkten, die über das ganze Stadtgebiet verteilt sind, und laufend evident gehalten werden. Die Höhen werden im Höhenbezugssystem Gebrauchshöhe Adria (GHA) in Meter ausgegeben.","PKT_NR: Punktname 
STABILISIERUNG_TXT: Bolzen, Bundesbolzen, Knopf, Niete, Sechskantbolzen, Stein 
HOEHE_ADRIA: Höhe im Höhenbezugssystem Gebrauchshöhe Adria (GHA) in Meter   
HOEHE_WIEN: Höhe im Höhenbezugssystem Wiener Null in Meter  
ADRESSE: Bezirk, Straße, Hausnummer   
VERORTUNG: Angaben zur Lage    
EPOCHE: Jahr des Netzausgleichs auf dem die Höhe des Punktes basiert",5b26dc79-22a4-47d5-bdc9-86330e0f4af4,https://data.wien.gv.at/daten/geo?service=WFS&request=GetFeature&version=1.1.0&typeName=ogdwien:HOEHENFESTPKTADRIAOGD&srsName=EPSG:4326&outputFormat=csv,CSV
engwpleistthermogd,,,"Maximale thermische Leistung eines Brunnenpaars mit 50 m Abstand zwischen Entnahme- und Rückgabebrunnen, entsprechend der Brunnenleistung und der verfügbaren Temperaturdifferenz am Standort, die über minimale und maximale GW-Temperatur und unter Berücksichtigung bestehender Limits (maximale Temperaturdifferenz ist 5 K, minimale Rückgabetemperatur 5 °C und maximale Rückgabetemperatur 18 °C) berechnet wird. ",Rasterdaten - Wert in kW für die thermische Leistung eines Brunnenpaars,c278c7dd-908f-4543-81a3-486a11161044,https://data.wien.gv.at/daten/geo?service=WFS&request=GetFeature&version=1.1.0&typeName=ogdwien:ENGWPLEISTTHERMOGD&srsName=EPSG:4326&outputFormat=csv,CSV
enewswarmeleitfogd,,,"Mittlere konduktive Wärmeleitfähigkeit des Untergrunds für eine Tiefe von 0 bis 100 m.

Die Wärmeleitfähigkeit (W/m/K) kann für den Tiefenbereiche 0 bis 100 Meter folgendermaßen eingestuft werden:

•	Klasse ""gering"": Die prognostizierte gemittelte Wärmeleitfähigkeit ist für das angegebene Tiefenintervall kleiner als 1,7 W/m/K

•	Klasse ""durchschnittlich"": Die prognostizierte gemittelte Wärmeleitfähigkeit liegt für das angegebene Tiefenintervall zwischen 1,7 und 1,9 W/m/K

•	Klasse ""gut"": Die prognostizierte gemittelte Wärmeleitfähigkeit ist für das angegebene Tiefenintervall größer als 1,9 W/m/K
",Pro Fläche Wert der Wärmeleitfähigkeit in W/m K,75fe2b66-9885-4a0e-8bbd-b4cc61b37467,https://data.wien.gv.at/daten/geo?service=WFS&request=GetFeature&version=1.1.0&typeName=ogdwien:ENEWSWARMELEITFOGD&srsName=EPSG:4326&outputFormat=csv,CSV
stadt-wien_bezirksgrenzenwien,2011-10-19T00:00:00,,"Bezirksgrenzen, Wien
Politische Landesgrenze und Bezirksgrenzen von Wien","-NAMEK: Bezirksname (Wiener Gemeindebezirksname)

-BEZNR: Bezirksnummer

-BEZ_RZ: Bezirksnummer (in römischen Zahlen)

-NAMEG: Bezirksname

-LABEL: Bezirksnummer (in römischen Zahlen)

-BEZ: Bezirksnummer

-DISTRICT_CODE: Bezirkscode

-STATAUSTRIA_BEZ_CODE: Bezirkscode gem. Spezifikation der Statistik Austria

-STATAUSTRIA_GEM: Gemeindecode gem. Spezifikation der Statistik Austria

-FLAECHE: Fläche in Quadratmetern

-UMFANG: Umfang in Metern

-AKT_TIMESTAMP: Aktualisierungsdatum",68b345d6-2465-44dc-86c0-696fe7a706f0,https://data.wien.gv.at/daten/geo?service=WFS&request=GetFeature&version=1.1.0&typeName=ogdwien:BEZIRKSGRENZEOGD&srsName=EPSG:31256&outputFormat=csv,CSV
touristische-kraftfahrlinien-liniennetz-vienna-airport-line-wien,2021-03-25T00:00:00,,Darstellung des konzessionierten Liniennetzes Vienna Airport Linie Wien - Schwechat,"BEZEICHNUNG = Routenbezeichnung
VONHSTNR = nicht befüllt",2f3f8181-fc32-415a-8b2a-665a9c7ff12c,https://data.wien.gv.at/daten/geo?service=WFS&request=GetFeature&version=1.1.0&typeName=ogdwien:TOURISTIKLINIEVALOGD&srsName=EPSG:4326&outputFormat=csv,CSV
touristische-kraftfahrlinien-haltestellen-vienna-airport-linie-standorte-wien,2021-03-25T00:00:00,,Übersicht der Haltestellenstandorte Vienna Airport Linie Wien - Schwechat,NAME = Haltestellenname,ff32839a-86e5-4d96-b694-cf5a4da3e032,https://data.wien.gv.at/daten/geo?service=WFS&request=GetFeature&version=1.1.0&typeName=ogdwien:TOURISTIKHTSVALOGD&srsName=EPSG:4326&outputFormat=csv,CSV
stadt-wien_scooterabstellplaetze-wien,2023-06-30T00:00:00,,Standorte der Scooterabstellplätze in Wien,"Bezirk, Adresse, Anzahl und Art",97aac30f-efd3-4b08-ba9d-c365d715961d,https://data.wien.gv.at/daten/geo?service=WFS&request=GetFeature&version=1.1.0&typeName=ogdwien:SCOOTERABSTELLOGD&srsName=EPSG:4326&outputFormat=csv,CSV
stadt-wien_photovoltaik-potenzial-2022-daecher--pvpotenziale-wien,,,"Anhand des Luftbilds wurden jene Dachbereiche identifiziert die bei ausreichender Strahlung (ab 600 kWh/m²) grundsätzlich für Photovoltaik herangezogen werden können. Elemente wie Dachfenster, Aufzugsschächte und dgl konnten häufig erfasst und dadurch ausgenommen werden. Die Flächen des betroffenen Daches wurden drei Eignungsklassen zugewiesen. Kleine Restflächen unter 1 m² wurden elemeniert.

Dieser Datensatz im Vektorformat stellt eine Ableitung aus Rasterdaten dar (Solarstrahlungsmodell und Luftbild) und dient zur Darstellungszwecken. Die Angabe der Fläche in m² pro Eignungsklasse und Dach als auch die daraus abgeleitete potenzielle Anlagenleistung in kWp befindet sich im Datensatz ""Photovoltaik Potenzial 2022 (Dächer / Anlagenleistung)"".","OBJECTID: Objekt ID

ID: Interne ID

SHAPE: ESRI Geometrie 

SE_ANNO_CAD_DATA: 

EIGNUNGSKLASSE: Die Eignung der Dachflächen wurde in drei Kategorien eingeteilt. 
Mittel (EIGNUNGSKLASSE = 2) = 600 bis 900 kWh/m²*a, 
Gut (EIGNUNGSKLASSE = 3) = 900 bis 1250 kWh/m²*a, 
Sehr gut (EIGNUNGSKLASSE = 4) ab 1250 kWh/m²*a.",a31bcf50-c85d-47ac-898d-94e7a4a7bd9f,https://data.wien.gv.at/daten/geo?service=WFS&request=GetFeature&version=1.1.0&typeName=ogdwien:PVPOTENZIALEOGD&srsName=EPSG:4326&outputFormat=csv,CSV
